wdt_ID,Heat,Image,Pepper,Min SHU,Max SHU,Median SHU,JalRP,JalRP Times Hotter/Milder,Type,Origin,Use,Flavor,Link
141,Medium,https://www.pepperscale.com/wp-content/uploads/2018/01/black-cuban-pepper-e1516152091242.jpg,Black Cuban Pepper,40000,58000,49000,9.33,5 to 23,Annuum,Cuba,Ornamental,Neutral,https://www.pepperscale.com/black-cuban-pepper/
86,Medium,https://www.pepperscale.com/wp-content/uploads/2013/07/Pequin-Pepper_lg.jpg,Pequin Pepper,40000,60000,50000,9.52,5 to 24,Annuum,Mexico,Culinary,"Smoky, Fruity",https://www.pepperscale.com/pequin-pepper
87,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2016/08/Dried-Dundicut-Pepper.jpg,Dundicut Pepper,55000,65000,60000,11.43,7 to 26,Annuum,Pakistan,Culinary,"Fruity, Earthy",https://www.pepperscale.com/dundicut-pepper
147,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2017/11/calico-pepper_1.jpg,Calico pepper,50000,70000,60000,11.43,6 to 28,Annuum,Mexico,Ornamental,Neutral,https://www.pepperscale.com/calico-pepper/
88,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2016/04/tien-tsin-pepper.jpg,Tien Tsin Pepper,50000,75000,62500,11.90,6 to 30,Annuum,China,Culinary,Neutral,https://www.pepperscale.com/tien-tsin-pepper
89,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2017/03/cheiro-roxa.jpg,Cheiro Roxa,60000,80000,70000,13.33,8 to 32,Chinense,Brazil,Culinary,"Fruity, Sweet, Bitter",https://www.pepperscale.com/cheiro-roxa
90,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2016/06/prairie-fire-pepper.jpg,Prairie Fire Pepper,70000,80000,75000,14.29,9 to 32,Annuum,Mexico,Ornamental,"Fruity, Tangy",https://www.pepperscale.com/prairie-fire-pepper
91,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2016/02/Capsicum_pubescens_Rocoto.jpg,Rocoto Pepper,30000,100000,65000,12.38,4 to 40,Pubescens,South America,Culinary,"Sweet, Fruity, Grassy",https://www.pepperscale.com/rocoto-pepper
92,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2013/07/malagueta-pepper.jpeg,Malagueta Pepper,50000,100000,75000,14.29,6 to 40,Frutescens,Brazil,Culinary,"Sweet, Tangy",https://www.pepperscale.com/malagueta-pepper
93,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2017/07/byadgi-chili.jpg,Byadgi Chili,50000,100000,75000,14.29,6 to 40,Annuum,India,Culinary,Sweet,https://www.pepperscale.com/byadgi-chili
94,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2017/10/chiltepin-pepper.jpeg,Chiltepin Pepper,50000,100000,75000,14.29,6 to 40,Annuum,USA,Culinary,"Smoky, Earthy",https://www.pepperscale.com/chiltepin-pepper
95,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2013/07/thai-peppers_lg.jpg,Thai Pepper,50000,100000,75000,14.29,6 to 40,Annuum,Thailand,Culinary,Fruity ,https://www.pepperscale.com/thai-peppers
96,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2016/07/Charleston-Hot-Pepper.jpg,Charleston Hot Pepper,70000,100000,85000,16.19,9 to 40,Annuum,USA,Culinary,Neutral,https://www.pepperscale.com/charleston-hot-pepper
97,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2017/04/siling-labuyo.jpg,Siling Labuyo,80000,100000,90000,17.14,10 to 40,Frutescens,Phillipines,Culinary,Neutral,https://www.pepperscale.com/siling-labuyo
98,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2017/09/apache-pepper.jpg,Apache Pepper,80000,100000,90000,17.14,10 to 40,Annuum,Unknown,Culinary,Sweet,https://www.pepperscale.com/apache-pepper
99,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2014/11/datil-pepper.jpg,Datil Pepper,100000,300000,200000,38.10,12 to 120,Chinense,USA,Culinary,"Sweet, Fruity, Tropical ",https://www.pepperscale.com/datil-pepper
144,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2017/12/cumari-do-para_1.jpg,Cumari do Para,50000,300000,175000,33.33,6 to 120,Chinense,Brazil,Culinary,"Fruity, Sweet, Tropical",https://www.pepperscale.com/cumari-do-para/
100,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2015/08/Madame-Jeanette-Pepper.jpg,Madame Jeanette Pepper,125000,325000,225000,42.86,15 to 130,Chinense,South America,Culinary,"Sweet, Tropical",https://www.pepperscale.com/madame-jeanette-pepper
